,cluster_id,movie_id,info,ranking_score
0,1,803,Heaven & Earth (1993)|Action|Drama|War|,1.7274873434807057
1,1,1248,Blink (1994)|Thriller|,1.756632897857897
2,1,918,City of Angels (1998)|Romance|,1.9637097032939044
3,1,36,Mad Love (1995)|Drama|Romance|,1.9687386811233867
4,1,1518,Losing Isaiah (1995)|Drama|,1.9890464602560318
5,1,807,Poetic Justice (1993)|Drama|,1.9979523240408747
6,1,1082,Female Perversions (1996)|Drama|,2.009221749863873
7,1,1255,Broken English (1996)|Drama|,2.0545890971528165
8,1,983,"Rich Man's Wife, The (1996)|Thriller|",2.1169640197789357
9,1,1441,Moonlight and Valentino (1995)|Drama|Romance|,2.1493216197107956
10,1,870,Touch (1997)|Romance|,2.155660214101465
11,1,1232,Madonna: Truth or Dare (1991)|Documentary|,2.158747525391469
12,1,829,Fled (1996)|Action|Adventure|,2.16642806073584
13,1,1284,Before and After (1996)|Drama|Mystery|,2.1685434191222837
14,1,1407,"Specialist, The (1994)|Action|",2.184512649493164
15,1,1379,Love and Other Catastrophes (1996)|Romance|,2.196308090593593
16,1,1145,Blue Chips (1994)|Drama|,2.21427440705201
17,1,1225,Angus (1995)|Comedy|,2.214976773480477
18,1,912,U.S. Marshalls (1998)|Action|Thriller|,2.225457574438306
19,1,786,"Perez Family, The (1995)|Comedy|Romance|",2.231900527041384
