,cluster_id,x1,x2
0,9.0,453320.0,606542.0
1,9.0,520651.0,594591.0
2,9.0,516664.0,660290.0
3,9.0,570023.0,570741.0
4,12.0,524035.0,518443.0
5,12.0,544957.0,505968.0
6,9.0,503105.0,577815.0
7,9.0,515747.0,601704.0
8,9.0,588509.0,666153.0
9,9.0,533602.0,584471.0
10,11.0,488815.0,736618.0
11,9.0,555436.0,648459.0
12,9.0,525149.0,598859.0
13,9.0,527235.0,597804.0
14,12.0,532163.0,487880.0
15,9.0,456899.0,535857.0
16,9.0,458240.0,649408.0
17,9.0,449835.0,681607.0
18,9.0,536283.0,664397.0
19,9.0,490765.0,641584.0
20,6.0,454105.0,462204.0
21,10.0,452479.0,733351.0
22,9.0,530851.0,640929.0
23,12.0,537285.0,484173.0
24,9.0,517205.0,604160.0
25,9.0,523280.0,604275.0
26,9.0,587302.0,609986.0
27,9.0,474852.0,625772.0
28,9.0,524603.0,621588.0
29,9.0,541442.0,643798.0
30,9.0,533275.0,597808.0
31,9.0,561366.0,639125.0
32,9.0,542921.0,577831.0
33,9.0,535727.0,568446.0
34,9.0,505281.0,579015.0
35,12.0,507854.0,513056.0
36,9.0,519839.0,594718.0
37,9.0,543050.0,594144.0
38,9.0,502642.0,615006.0
39,9.0,457526.0,658653.0
40,9.0,454100.0,637822.0
41,9.0,478919.0,531404.0
42,9.0,525977.0,595552.0
43,9.0,530335.0,593501.0
44,9.0,485899.0,618292.0
45,9.0,520162.0,606713.0
46,9.0,579754.0,607506.0
47,9.0,448929.0,699090.0
48,9.0,519817.0,600528.0
49,9.0,590437.0,652317.0
50,11.0,565852.0,731472.0
51,9.0,530337.0,609544.0
52,12.0,591664.0,441477.0
53,9.0,518660.0,603100.0
54,12.0,543134.0,515387.0
55,9.0,549643.0,615815.0
56,1.0,536765.0,368279.0
57,6.0,490583.0,447151.0
58,9.0,462095.0,603185.0
59,9.0,521037.0,625633.0
60,12.0,517783.0,448891.0
61,9.0,504286.0,586215.0
62,6.0,449791.0,508708.0
63,9.0,505975.0,574621.0
64,9.0,565315.0,570709.0
65,9.0,505993.0,602027.0
66,9.0,481399.0,639977.0
67,9.0,528705.0,615540.0
68,9.0,496874.0,608333.0
69,9.0,509135.0,610403.0
70,9.0,551495.0,534129.0
71,9.0,511112.0,609032.0
72,9.0,540324.0,654879.0
73,11.0,518523.0,731755.0
74,9.0,592334.0,554231.0
75,9.0,458334.0,717159.0
76,9.0,563760.0,556793.0
77,12.0,498993.0,477685.0
78,9.0,461951.0,676819.0
79,9.0,542473.0,619633.0
80,9.0,577696.0,558890.0
81,12.0,528282.0,454400.0
82,9.0,505044.0,648336.0
83,9.0,502254.0,599976.0
84,9.0,540724.0,612400.0
85,9.0,527173.0,638401.0
86,10.0,457823.0,732911.0
87,9.0,556058.0,641043.0
88,9.0,504892.0,636062.0
89,9.0,519323.0,604971.0
90,9.0,552242.0,597762.0
91,11.0,519915.0,756868.0
92,9.0,510063.0,608495.0
93,9.0,465513.0,529132.0
94,11.0,548305.0,789860.0
95,9.0,583329.0,579176.0
96,9.0,556448.0,580076.0
97,9.0,533866.0,630754.0
98,9.0,515476.0,610111.0
99,9.0,523927.0,561491.0
100,11.0,537745.0,730727.0
101,9.0,496614.0,634895.0
102,9.0,532452.0,620413.0
103,9.0,536056.0,592316.0
104,9.0,593310.0,602181.0
105,9.0,496071.0,641507.0
106,11.0,534472.0,723007.0
107,9.0,560890.0,671380.0
108,9.0,587630.0,603523.0
109,9.0,465477.0,577209.0
110,9.0,515948.0,599567.0
111,12.0,568984.0,508467.0
112,9.0,503169.0,584319.0
113,9.0,474033.0,604815.0
114,9.0,547110.0,635152.0
115,9.0,468222.0,558458.0
116,9.0,517396.0,599675.0
117,9.0,530689.0,605173.0
118,11.0,559197.0,707148.0
119,9.0,481295.0,606981.0
120,9.0,500864.0,602869.0
121,12.0,530677.0,448636.0
122,9.0,478788.0,536546.0
123,9.0,575107.0,605490.0
124,9.0,556865.0,576259.0
125,12.0,502377.0,463742.0
126,12.0,560795.0,506703.0
127,9.0,498930.0,606521.0
128,9.0,437919.0,529813.0
129,9.0,478859.0,605506.0
130,9.0,481130.0,571932.0
131,9.0,469019.0,650175.0
132,12.0,550219.0,511903.0
133,9.0,548072.0,645976.0
