,cluster_id,movie_id,info,ranking_score
0,0,314,3 Ninjas: High Noon At Mega Mountain (1998)|Action|Children's|,0.924413865412815
1,0,858,Amityville: Dollhouse (1996)|Horror|,0.9837042729740987
2,0,1659,Getting Away With Murder (1996)|Comedy|,0.9839348068161791
3,0,437,Amityville 1992: It's About Time (1992)|Horror|,0.98637980609462
4,0,439,Amityville: A New Generation (1993)|Horror|,0.98637980609462
5,0,599,Police Story 4: Project S (Chao ji ji hua) (1993)|Action|,0.9899750544587479
6,0,1644,Sudden Manhattan (1996)|Comedy|,1.0033764810153123
7,0,1354,Venice/Venice (1992)|Drama|,1.0051964049243862
8,0,1308,Babyfever (1994)|Comedy|Drama|,1.0080824214510151
9,0,1678,Mat' i syn (1997)|Drama|,1.0094641592938174
10,0,1408,Gordy (1995)|Comedy|,1.0121948302780723
11,0,1432,"Mighty, The (1998)|Drama|",1.0151176056213622
12,0,784,Beyond Bedlam (1993)|Drama|Horror|,1.0151638351120365
13,0,1309,"Very Natural Thing, A (1974)|Drama|",1.0176200584870858
14,0,1661,"New Age, The (1994)|Drama|",1.025809505292688
15,0,1621,Butterfly Kiss (1995)|Thriller|,1.0279393998127269
16,0,852,"Bloody Child, The (1996)|Drama|Thriller|",1.0300501344283104
17,0,830,Power 98 (1995)|Action|Mystery|Thriller|,1.0300501344283104
18,0,1334,Somebody to Love (1994)|Drama|,1.0314692068109523
19,0,1359,Boys in Venice (1996)|Drama|,1.0314692068109523
