,cluster_id,movie_id,info,ranking_score
0,2,427,To Kill a Mockingbird (1962)|Drama|,1.8717086609219942
1,2,479,Vertigo (1958)|Mystery|Thriller|,1.8857336143960675
2,2,79,"Fugitive, The (1993)|Action|Thriller|",1.9235267071607656
3,2,191,Amadeus (1984)|Drama|Mystery|,1.9703044429594363
4,2,483,Casablanca (1942)|Drama|Romance|War|,2.00252951190219
5,2,216,When Harry Met Sally... (1989)|Comedy|Romance|,2.0055731254099296
6,2,684,In the Line of Fire (1993)|Action|Thriller|,2.041116591263999
7,2,204,Back to the Future (1985)|Comedy|Sci-Fi|,2.0470291973445125
8,2,435,Butch Cassidy and the Sundance Kid (1969)|Action|Comedy|Western|,2.0538875174140516
9,2,651,Glory (1989)|Action|Drama|War|,2.054989392143162
10,2,608,Spellbound (1945)|Mystery|Romance|Thriller|,2.0552058454697506
11,2,498,"African Queen, The (1951)|Action|Adventure|Romance|War|",2.072482274226894
12,2,490,To Catch a Thief (1955)|Comedy|Romance|Thriller|,2.0838592921273604
13,2,603,Rear Window (1954)|Mystery|Thriller|,2.097016162113921
14,2,58,Quiz Show (1994)|Drama|,2.099521664797746
15,2,98,"Silence of the Lambs, The (1991)|Drama|Thriller|",2.1061307152699706
16,2,28,Apollo 13 (1995)|Action|Drama|Thriller|,2.1112051101823597
17,2,174,Raiders of the Lost Ark (1981)|Action|Adventure|,2.1130572614731715
18,2,480,North by Northwest (1959)|Comedy|Thriller|,2.115662280539202
19,2,1,Toy Story (1995)|Animation|Children's|Comedy|,2.124622430548613
